Product Name,Suggested Brand,Image URL
Stylus Pen,,https://drive.google.com/thumbnail?id=1NWqVmsat9OyzwVYJYgKNA2eeO4FUgccU&sz=w1000
OMG Technical Mid Layer Jacket,OMG,https://drive.google.com/thumbnail?id=1JFGmcLt_VNOqlTPXJ9ZFJyhlw1-zKPFS&sz=w1000
OMG Surry Sweatshirt Black,OMG,https://drive.google.com/thumbnail?id=1iGacIR__HWvholIScGzHLQL7mZGOElK6&sz=w1000
Felt Tote Bag,,https://drive.google.com/thumbnail?id=17IBlojzllrVpLHln46nWdWhNT4jhyuMP&sz=w1000
Urban Gear Sigma Sipper,Urban Gear,https://drive.google.com/thumbnail?id=1cSIjkNp4g__xBaH9pQ1gT6FmVz0t3Q-j&sz=w1000
SOIL Classic Journal Navy,SOIL,https://drive.google.com/thumbnail?id=15oi5FPQatEpW7ADw4ZUG78Aa2w0YQGGW&sz=w1000
travelXOXO EVA Laptop Case,travelXOXO,https://drive.google.com/thumbnail?id=1noAn7kiHOlxKItALOlF1bR7ehRtAbww1&sz=w1000
travelXOXO Canvas Stylish Backpack,travelXOXO,https://drive.google.com/thumbnail?id=192dFUV6NhJY8ebNDru4nPDdsgMMgIGOr&sz=w1000
travelXOXO Strello Backpack,travelXOXO,https://drive.google.com/thumbnail?id=1hVcwJh8skAB8RaNlZ9xKxCKiUkO7vDhl&sz=w1000
Desk Memo Pad,,https://drive.google.com/thumbnail?id=1XPnpWgprnzTQxupQFwNedxayLFsmIZaV&sz=w1000
SOIL Classic Journal Kraft,SOIL,https://drive.google.com/thumbnail?id=1Qj2erWLk2GGO1k4t6Qy_f5Z-12NJa7zz&sz=w1000
travelXOXO Stealth Sentinal Backpack,travelXOXO,https://drive.google.com/thumbnail?id=1YBNrqSww4-56gdBe6O1UV-ePBIg4PwYL&sz=w1000
Infinity Mouse Pad,,https://drive.google.com/thumbnail?id=1Lcy4bQhw6A2ugpD9e9Q1aMC9b5cq6vrc&sz=w1000
travelXOXO Limited Edition Backpack,travelXOXO,https://drive.google.com/thumbnail?id=1Auv54qL4-9s0G788rjf3AzAhsdPXs6AN&sz=w1000
Adalrich Tetra Metal Keychain,Adalrich,https://drive.google.com/thumbnail?id=16LBo64a8UOT0rrqt9cXCQjCVg9aUkWBe&sz=w1000
travelXOXO Anti-theft Backpack II,travelXOXO,https://drive.google.com/thumbnail?id=1vOYmgAi-NncEW_gWWBMmpklfsFGoj2Vb&sz=w1000
travelXOXO Varsity Gym Duffle Bag,travelXOXO,https://drive.google.com/thumbnail?id=11-rE-6mWmlLRGprdtDDVjRn2PyCfsoIN&sz=w1000
A4 Twin-Wire Spiral Notebook,,https://drive.google.com/thumbnail?id=1TwHc8HrLHOL1RgQ3P-Kul7ja8HO79XmL&sz=w1000
travelXOXO Fit Pack,travelXOXO,https://drive.google.com/thumbnail?id=1l4EBiHltVOa-w-ct1yheFQBfPP22xJGJ&sz=w1000
SOIL Paper Bag,SOIL,https://drive.google.com/thumbnail?id=1nvGN6tEfnkHPiN6tdsaWDnqd_9np4B1U&sz=w1000
OMG Supreme Cap,OMG,https://drive.google.com/thumbnail?id=1mAQ0fOWL1hgwVVijJWIZ1gvx2Pca7OpE&sz=w1000
OMG Basics Endurance Round Neck T-Shirt I,OMG,https://drive.google.com/thumbnail?id=1v0J_VyI3vxrXVThWYLbd5XEls0tB5qoO&sz=w1000
Bamboo Pen I,,https://drive.google.com/thumbnail?id=1-K8IJ5vczXY-2miqksvGeBpDXCeiPOJu&sz=w1000
OMG Full Zip Swag Jacket,OMG,https://drive.google.com/thumbnail?id=1duTNxjY92Hhv1xKBpzSdyGbdr-_7BZux&sz=w1000
SOIL Eco Coaster,SOIL,https://drive.google.com/thumbnail?id=1i71MdrQ-bqAGZDoAo63whMV-BR_bg82O&sz=w1000
travelXOXO Aksa Laptop Backpack,travelXOXO,https://drive.google.com/thumbnail?id=1sbAWOJOqp3_CKgi6t2Quwqgwkm4nXv7K&sz=w1000
Cotton Bath Towel,,https://drive.google.com/thumbnail?id=1FkARzCm7KGs8cvfbRQs_A8zksqD7FTwr&sz=w1000
SOIL Leatherette Journal,SOIL,https://drive.google.com/thumbnail?id=1Cp-JT7H8KIyIw7pOcyvCQRrgBoevQx8a&sz=w1000
SOIL Spiral Notebook I,SOIL,https://drive.google.com/thumbnail?id=1-zGR5vKhbJQMXM9zZxTbsF7PxZA5pVQa&sz=w1000
travelXOXO Bounce Roll Top Backpack,travelXOXO,https://drive.google.com/thumbnail?id=1lXNFS8mjmxa4GkUD8txxHkuMsTpaY84B&sz=w1000
travelXOXO Maxi Fashion Backpack,travelXOXO,https://drive.google.com/thumbnail?id=1ImSyeT78VCLiYbrHCMQnnU4i5cINLuFR&sz=w1000
OMG In & Out Polo T-Shirt,OMG,https://drive.google.com/thumbnail?id=172wavQ4GQnT5BxrruiaeiKm-4RZxP6L1&sz=w1000
travelXOXO Travel Organiser,travelXOXO,https://drive.google.com/thumbnail?id=1pfj2uOUuaMfHf0koNfZo9k4v8I8c_HKs&sz=w1000
travelXOXO Base Camp Duffle Bag I,travelXOXO,https://drive.google.com/thumbnail?id=1NwFR4cdgZ2hKHyCI5wscan5EeD9rc_TX&sz=w1000
HydroMonk Ultra Bottle I,HydroMonk,https://drive.google.com/thumbnail?id=1V0wkkDXbDpd8VlDyb_yjcjHQcSxIe1VD&sz=w1000
OMG Surry Sweatshirt White,OMG,https://drive.google.com/thumbnail?id=1pjOPDJ7iYpFYU9PEGr2SwhhUKv2xgljY&sz=w1000
SOIL Canvas Round Duffle Bag,SOIL,https://drive.google.com/thumbnail?id=1MGjj1EzKVsEmZg6WlNkDtENTzHCSLXIk&sz=w1000
SOIL Recharge Lunch Bag,SOIL,https://drive.google.com/thumbnail?id=1W65siSP2fk55f648n2KMfHVDXVTfEHGh&sz=w1000
travelXOXO Flight Crossbody Sling Bag,travelXOXO,https://drive.google.com/thumbnail?id=1iGUeIG5S-ygF_1vfHjIxpOZtrQkUn7HW&sz=w1000
SOIL Classic Canvas Tote Bag,SOIL,https://drive.google.com/thumbnail?id=14HXaA77F5qHsqP-BOCFN0XHFFZkEoIJh&sz=w1000
travelXOXO Arm Band Phone Holder,travelXOXO,https://drive.google.com/thumbnail?id=162qPNF7-iEUKIdGNvdd6s2pwZ1H-RwSN&sz=w1000
travelXOXO Ashen Laptop Backpack,travelXOXO,https://drive.google.com/thumbnail?id=1JjH_a5mHHsoYnwA6RUOlexrMoMEmx0qe&sz=w1000
Conical Mug II,,https://drive.google.com/thumbnail?id=1vJ3y4KMtIZK4RtA0TNNiF28d7giauk8V&sz=w1000
travelXOXO Polycanvas Tote Bag,travelXOXO,https://drive.google.com/thumbnail?id=1s40-EqZdjfZvp1EE20J3HBYaLGWwCEbV&sz=w1000
Data Cable Set,,https://drive.google.com/thumbnail?id=1j8yTWwbf5MrRkauP7iLqv1KImdTJzMTY&sz=w1000
Ceramic Mug,,https://drive.google.com/thumbnail?id=1v7PyWkEUJYXzePz0Y9uzPvjDBOy6xg-u&sz=w1000
OMG Full Zipper Hoodie,OMG,https://drive.google.com/thumbnail?id=1r_RL1lMNeYcZJbjyoxkAS-hEV57ZXuOs&sz=w1000
travelXOXO Fit Pack 2,travelXOXO,https://drive.google.com/thumbnail?id=1PB6PNTdcTH052CMReeaj33VXkxkxMyJ4&sz=w1000
Button Badge,,https://drive.google.com/thumbnail?id=1AAroXJAgZnY59qOLyFn5IgElx7f9ryms&sz=w1000
travelXOXO Air Packing Cubes - Set Of 3,travelXOXO,https://drive.google.com/thumbnail?id=1d3ekDaXVcdvwih5wQOobZWa8fhc6Sa5f&sz=w1000
travelXOXO Transit Backpack II,travelXOXO,https://drive.google.com/thumbnail?id=1opZKIqCAzUntuespeq127Z-TZapv3l7h&sz=w1000
OMG Full Zip Swag Jacket Black,OMG,https://drive.google.com/thumbnail?id=18bsesUwEtP7IXtMMxEF_k8hw_0rHaBFE&sz=w1000
SOIL Classic Journal,SOIL,https://drive.google.com/thumbnail?id=1lVRLsEfO3dUBYF6Bo6p1xPU_Sz9JQ3gr&sz=w1000
PVC Digital NFC Card,,https://drive.google.com/thumbnail?id=1P8e5neO0WOHsXHoe2MAX0neiV6klg82Y&sz=w1000
SOIL Classic Journal White,SOIL,https://drive.google.com/thumbnail?id=1XMereZSBNNi1L9V1yCakVk67HSGC6QJt&sz=w1000
SOIL Boat Tote Bag,SOIL,https://drive.google.com/thumbnail?id=1Yc32Hu72l_xhAzt8SJcQy1ijZBUGOP04&sz=w1000
